Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
499,Andy Dalton,38,CAR,QB,4,1,0,0,0,,0,0,,,0.0,0.0,,,2,,DaltAn00
500,Jayden Daniels,25,WAS,QB,7,7,0,0,0,,0,0,,,0.0,0.0,,,3,,DaniJa02
501,Sam Darnold,28,SEA,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,11,PB,DarnSa00
502,Jaxson Dart,22,NYG,QB,14,12,0,0,0,,0,0,,,0.0,0.0,,,5,AP ORoY-4,DartJa00
503,Joshua Dobbs,30,NWE,QB,4,0,0,0,0,,0,0,,,0.0,0.0,,,0,,DobbJo00
504,Justin Fields,26,NYJ,QB,9,9,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,4,,FielJu00
505,Joe Flacco,40,2TM,QB,13,10,0,0,0,,0,0,,,0.0,0.0,,,3,PB,FlacJo00
505,Joe Flacco,40,CLE,QB,4,4,0,0,0,,0,0,,,0.0,0.0,,,2,,FlacJo00
505,Joe Flacco,40,CIN,QB,9,6,0,0,0,,0,0,,,0.0,0.0,,,1,,FlacJo00
506,Feleipe Franks,28,ATL,TE,17,0,0,0,0,,0,0,,,0.0,0.0,,,0,,FranFe00
507,Dillon Gabriel,25,CLE,QB,10,6,0,0,0,,0,0,,,0.0,0.0,,,0,,GabrDi00
508,Jimmy Garoppolo,34,LAR,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,GaroJi00
509,Myles Gaskin,28,SEA,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,GaskMy00
510,DJ Giddens,22,IND,RB,9,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,GiddDJ00
511,Jamie Gillan,28,NYG,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,GillJa00
512,Jared Goff,31,DET,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,6,PB,GoffJa00
513,Mecole Hardman,27,BUF,WR,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,1,,HardMe00
514,Justin Herbert,27,LAC,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,7,PB,HerbJu00
515,Nyheim Hines,29,LAC,RB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HineNy00
516,Travis Homer,27,CHI,RB,10,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HomeTr00
517,Tyler Huntley,27,BAL,QB,5,2,0,0,0,,0,0,,,0.0,0.0,,,0,,HuntTy01
518,Jalen Hurts,27,PHI,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,8,PB,HurtJa00
519,Lamar Jackson,28,BAL,QB,13,13,0,0,0,,0,0,,,0.0,0.0,,,7,,JackLa00
520,Amar Johnson,22,LAC,RB,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,JohnAm00
521,D'Ernest Johnson,29,2TM,RB,8,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JohnDE04
521,D'Ernest Johnson,29,ARI,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JohnDE04
521,D'Ernest Johnson,29,NWE,RB,7,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JohnDE04
522,Josh Johnson,39,WAS,QB,5,2,0,0,0,,0,0,,,0.0,0.0,,,2,,JohnJo05
523,Roschon Johnson,24,CHI,RB,7,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JohnRo07
524,Charlie Jones,27,CIN,WR,14,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,JoneCh11
525,Daniel Jones,28,IND,QB,13,13,0,0,0,,0,0,,,0.0,0.0,,,9,,JoneDa05
526,Mac Jones,27,SFO,QB,11,8,0,0,0,,0,0,,,0.0,0.0,,,4,,JoneMa05
527,Velus Jones Jr.,28,SEA,RB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JoneVe00
528,Nick Kallerup,24,SEA,TE,9,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,KallNi00
529,Trey Lance,25,LAC,QB,4,1,0,0,0,,0,0,,,0.0,0.0,,,1,,LancTr00
530,Trevor Lawrence,26,JAX,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,5,AP MVP-5AP CPoY-4,LawrTr00
531,Riley Leonard,23,IND,QB,5,1,0,0,-3,,0,0,,-3,0.0,-0.6,,,2,,LeonRi02
532,Drew Lock,29,SEA,QB,5,0,0,0,0,,0,0,,,0.0,0.0,,,2,,LockDr00
533,Jordan Love,27,GNB,QB,15,15,0,0,0,,0,0,,,0.0,0.0,,,7,,LoveJo03
534,Braden Mann,28,PHI,P,17,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MannBr01
535,Marcus Mariota,32,WAS,QB,11,8,0,0,0,,0,0,,,0.0,0.0,,,6,,MariMa01
536,Adrian Martinez,25,SFO,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MartAd00
537,Jake Matthews,33,ATL,T,17,17,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,MattJa00
538,Baker Mayfield,30,TAM,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,11,,MayfBa00
539,J.J. McCarthy,22,MIN,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,6,,McCaJJ00
540,Tanner McKee,25,PHI,QB,4,1,0,0,0,,0,0,,,0.0,0.0,,,0,,McKeTa01
541,Davis Mills,27,HOU,QB,6,3,0,0,0,,0,0,,,0.0,0.0,,,1,,MillDa02
542,Jalen Milroe,23,SEA,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,1,,MilrJa00
