Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
314,Gunner Olszewski,NYG,WR,29,16,1,1,2,33,1,0,0,0,,0,13,10,145,14.50,1,1,1,1,,,24,33.8,37.8,28.8,,125,,OlszGu00
315,Jeremy Ruckert,NYJ,TE,25,17,15,0,0,0,0,0,0,0,,0,29,23,179,7.78,1,0,0,1,,,24,46.9,49.9,35.4,,60,,RuckJe00
316,Mitchell Tinsley,CIN,WR,26,17,4,0,0,0,0,0,0,0,,0,24,8,116,14.50,2,0,0,2,,,24,31.6,34.6,27.6,,126,,TinsMi00
317,Jawhar Jordan,HOU,RB,26,4,0,0,0,0,0,0,43,193,4.49,0,7,7,34,4.86,0,0,0,0,,,23,29.7,32.7,26.2,,78,,JordJa00
318,Jaret Patterson,LAC,RB,26,6,1,0,0,0,0,0,41,159,3.88,1,4,3,8,2.67,0,0,0,1,,,23,25.7,28.7,24.2,,79,,PattJa01
319,Brock Wright,DET,TE,27,11,8,0,0,0,0,0,0,0,,0,22,14,108,7.71,2,0,0,2,,,23,36.8,39.8,29.8,,61,,WrigBr01
320,Elijah Arroyo,SEA,TE,22,13,4,0,0,0,0,0,0,0,,0,26,15,179,11.93,1,1,1,1,,,22,36.9,40.9,29.4,,62,,ArroEl00
321,Jack Bech,LVR,WR,23,16,5,0,0,0,0,0,0,0,,0,29,20,224,11.20,0,0,0,0,,,22,42.4,45.4,32.4,,127,,BechJa00
322,Trey Benson,ARI,RB,23,4,1,0,0,0,0,0,29,160,5.52,0,16,13,64,4.92,0,0,0,0,,,22,35.4,38.4,28.9,,80,,BensTr01
323,Lil'Jordan Humphrey,2TM,WR,27,10,4,0,0,0,0,0,0,0,,0,25,13,156,12.00,1,0,0,1,,,22,34.6,37.6,28.1,,128,,HumpLi01
324,Malachi Corley,CLE,WR,23,13,5,0,0,0,0,0,13,127,9.77,0,14,11,79,7.18,0,0,0,0,,,21,31.6,34.6,26.1,,131,,CorlMa00
325,Antonio Gibson,NWE,RB,27,5,0,0,0,0,0,0,25,106,4.24,1,3,2,6,3.00,0,2,1,2,,,21,23.2,27.2,22.2,,81,,GibsAn00
326,Hunter Long,JAX,TE,27,9,3,0,0,0,0,0,0,0,,0,17,12,85,7.08,2,1,0,2,,,21,32.5,32.5,26.5,,63,,LongHu00
327,Hunter Renfrow,CAR,WR,30,6,2,0,0,0,0,0,0,0,,0,26,15,89,5.93,2,0,0,2,,,21,35.9,35.9,28.4,,129,,RenfHu00
328,Adam Thielen,2TM,WR,35,16,7,0,0,0,0,0,0,0,,0,35,19,186,9.79,0,0,0,0,1,,21,39.6,42.6,30.1,,132,,ThieAd00
329,Jahdae Walker,CHI,WR,23,9,1,0,0,0,0,0,0,0,,0,10,6,87,14.50,2,0,0,2,,,21,26.7,26.7,23.7,,130,,WalkJa03
330,Ameer Abdullah,IND,RB,32,13,0,0,0,0,0,0,14,60,4.29,1,17,16,99,6.19,0,1,1,1,,,20,35.9,36.9,27.9,,82,,AbduAm00
331,Kevin Austin,NOR,WR,25,8,1,0,0,0,0,0,0,0,,0,23,13,140,10.77,1,0,0,1,,,20,33.0,36.0,26.5,,133,,AustKe00
332,Chris Brooks,GNB,RB,25,17,0,0,0,0,0,0,27,106,3.93,0,17,13,91,7.00,0,0,0,0,,,20,32.7,35.7,26.2,,83,,BrooCh00
